tid,name,num,ts,grade,lng,lat,dist_km
3304099,沙德尔,2618,202608280500,STS,120.1,27.5,263.6
3304099,沙德尔,2618,202608280600,STS,120.1,27.5,263.6
3304099,沙德尔,2618,202608280700,STS,119.9,27.4,274.2
3304099,沙德尔,2618,202608280800,TS,119.7,27.3,286.1
3304099,沙德尔,2618,202608280900,TS,119.3,27.3,291.6
3304099,沙德尔,2618,202608281000,TS,119,27.3,299.0
3304099,沙德尔,2618,202608281100,TS,118.7,27.3,308.9
3304099,沙德尔,2618,202608281200,TS,118.4,27.3,321.0
3304099,沙德尔,2618,202608281300,TS,118.1,27.3,335.3
3304099,沙德尔,2618,202608281400,TS,117.8,27.3,351.3
3304099,沙德尔,2618,202608281500,TD,117.6,27.3,362.9
3304099,沙德尔,2618,202608281600,TD,117.1,26.9,427.6
3304099,沙德尔,2618,202608281800,TD,117.1,26.9,427.6
3304099,沙德尔,2618,202608282100,TD,116.3,27.1,465.4
3304099,沙德尔,2618,202608290000,TD,115.7,27,517.0
3304099,沙德尔,2618,202608290300,TD,115.3,26.9,554.3
3304099,沙德尔,2618,202608290600,TD,115.1,26.8,576.4
3304099,沙德尔,2618,202608290900,TD,114.6,26.9,609.8
3304099,沙德尔,2618,202608291200,TD,113.6,26.6,709.2
3304099,沙德尔,2618,202608291500,TD,112.9,26.1,795.6
3304099,沙德尔,2618,202608291800,TD,112.3,25.6,874.1
3304099,沙德尔,2618,202608292100,TD,112,24.7,955.0
3304099,沙德尔,2618,202608300000,TD,111.8,24.4,990.5
3304099,沙德尔,2618,202608300300,TD,111.6,24,1033.2
3304099,沙德尔,2618,202608300600,TD,111.4,23.6,1076.3
3304099,沙德尔,2618,202608310900,TD,110.6,18.9,1513.0
3304099,沙德尔,2618,202608311200,TD,111.7,19.5,1397.3
3304099,沙德尔,2618,202608311500,TD,112.3,19.5,1365.4
3304099,沙德尔,2618,202608311800,TS,112.4,19.2,1388.5
3304099,沙德尔,2618,202608311900,TS,112.6,19.2,1378.6
3304099,沙德尔,2618,202608312000,TS,112.8,19.2,1368.8
3304099,沙德尔,2618,202608312100,TS,112.8,19.2,1368.8
3304099,沙德尔,2618,202608312200,TS,112.8,19.2,1368.8
3304099,沙德尔,2618,202608312300,TS,112.9,19.3,1354.4
3304099,沙德尔,2618,202609010000,TS,113,19.4,1340.0
3304099,沙德尔,2618,202609010100,TS,113.3,19.4,1325.9
3304099,沙德尔,2618,202609010200,TS,113.8,19.7,1273.8
3304099,沙德尔,2618,202609010300,TS,113.9,19.8,1259.5
